Time,Click alternative,Participant,Training,Correct target,Click time,Address,Found target,Letters shown,Key pressed,Activated buttons,Found rectangle,Key released,Dwell target,Found confirm,Dwell confirm,Mouse clicked,Clicked button,Dark grey,Dark orange,Violet,Red,Yellow,Dark green,Blue,2nd longest dwell,Dark grey,Dark orange,Violet,Cyan,Yellow,Dark green,Blue,Link centre X,Link centre Y,Link width,Link height,Gaze X,Gaze Y,Calibration Median
14:41:24:427,Mouse,1,0,1,1231,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.People.Geographers_and_explorers.htm,576,,,,,,,,,654,,,,,,,,,,,,,,,,,656.6396484,705,159,14,,,173.5449649
14:41:28:500,Mouse,1,0,1,1045,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.Art.htm,386,,,,,,,,,659,,,,,,,,,,,,,,,,,88.19244385,202.5,19,15,,,173.5449649
14:41:32:483,Mouse,1,0,1,967,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.Countries.htm,398,,,,,,,,,569,,,,,,,,,,,,,,,,,87.85051346,262.5,55,15,,,173.5449649
14:41:36:372,Mouse,1,0,1,869,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.History.htm,1542,,,,,,,,,869,,,,,,,,,,,,,,,,,87.98978424,342.5,41,15,,,173.5449649
14:43:26:782,Offset Menu,1,0,1,7850,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/d/DNA.htm,399,,,1679,424,447,,,,,,,,,,,,,,,,,,,,,905.40625,794.5,37,19,,,173.5449649
14:43:32:590,Offset Menu,1,0,1,2628,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.Everyday_life.htm,396,,,488,1327,416,,,,,,,,,,,,,,,,,,,,,88.02263641,302.5,73,15,,,173.5449649
14:43:37:031,Offset Menu,1,0,1,1413,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/alpha.htm,350,,,344,342,377,,,,,,,,,,,,,,,,,,,,,87.87384033,532.5,113,17,,,173.5449649
14:43:41:870,Offset Menu,1,0,1,1829,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.Everyday_life.htm,557,,,120,794,357,,,,,,,,,,,,,,,,,,,,,88.02263641,302.5,73,15,,,173.5449649
14:43:46:839,Offset Menu,1,0,1,1950,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.Everyday_life.htm,415,,,366,362,805,,,,,,,,,,,,,,,,,,,,,88.02263641,302.5,73,15,,,173.5449649
14:43:51:487,Offset Menu,1,0,1,1616,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.Countries.htm,362,,,326,613,314,,,,,,,,,,,,,,,,,,,,,87.85051346,262.5,55,15,,,173.5449649
