Time,Click alternative,Participant,Training,Correct target,Link Density,Click time,Address,Found target,Letters shown,Key pressed,Activated buttons,Found rectangle,Key released,Dwell target,Found confirm,Dwell confirm,Mouse clicked,Clicked button,Dark grey,Dark orange,Violet,Cyan,Yellow,Dark green,Blue,2nd longest dwell,Total dwell,Dark grey,Dark orange,Violet,Cyan,Yellow,Dark green,Blue,Link centre X,Link centre Y,Link width,Link height,Gaze X,Gaze Y
16:23:35:843,Touch Eye Dynamic,1,0,1,2,1438,file:///C:/wikipedia-schools-3.0.1/wp/d/Dune.htm,,,,,,,515,689,232,,Violet,1,0,1,0,0,0,0,134,366,0,0,232,134,0,0,0,686.3984375,768.5,89,19,,
16:23:39:744,Touch Eye Dynamic,1,0,1,6,1435,file:///C:/wikipedia-schools-3.0.1/wp/index/subject.People.htm,,,,,,,503,726,205,,Dark Grey,1,1,1,1,1,1,0,88,292,203,88,0,0,0,0,0,87.97486877,442.5,41,15,,
16:23:43:548,Touch Eye Dynamic,1,0,1,1,1362,file:///C:/wikipedia-schools-3.0.1/wp/index/subject.People.Chemists.htm,,,,,,,524,611,227,,Violet,0,0,1,0,0,0,0,86,313,0,0,226,86,0,0,0,848.5914307,513,55,14,,
16:23:49:821,Touch Eye Dynamic,1,0,1,6,3846,file:///C:/wikipedia-schools-3.0.1/wp/index/subject.Countries.htm,,,,,,,465,871,2509,,Yellow,0,0,1,1,1,1,1,66,802,0,0,66,0,664,0,0,87.85051346,262.5,55,15,,
16:23:54:358,Touch Eye Dynamic,1,0,1,6,2097,file:///C:/wikipedia-schools-3.0.1/wp/index/subject.Business_Studies.htm,,,,,,,470,896,729,,Cyan,0,0,1,1,0,1,1,22,224,0,0,22,152,0,0,0,88.13080978,222.5,97,15,,
16:23:58:495,Touch Eye Dynamic,1,0,1,5,1700,file:///C:/wikipedia-schools-3.0.1/wp/index/subject.Music.htm,,,,,,,475,996,229,,Violet,0,1,1,1,1,1,1,0,228,0,0,228,0,0,0,0,88.04478455,422.5,35,15,,
16:24:02:629,Touch Eye Dynamic,1,0,1,5,1693,file:///C:/wikipedia-schools-3.0.1/wp/index/subject.Everyday_life.htm,,,,,,,471,683,538,,Dark Orange,1,1,1,1,1,0,1,0,435,0,435,0,0,0,0,0,88.02263641,302.5,73,15,,
16:24:06:551,Touch Eye Dynamic,1,0,1,6,1470,file:///C:/wikipedia-schools-3.0.1/wp/index/subject.Mathematics.htm,,,,,,,460,783,226,,Yellow,1,1,0,0,1,1,1,0,225,0,0,0,0,225,0,0,88.36573029,402.5,73,15,,
16:26:04:184,A Posteriori,1,0,1,6,1486,file:///C:/wikipedia-schools-3.0.1/wp/index/subject.IT.htm,,,,,,,,1244,241,,Dark Green,0,0,0,0,0,1,0,138,331,0,0,138,0,60,271,0,88.14930725,362.5,131,15,,
16:26:07:977,A Posteriori,1,0,1,5,1355,file:///C:/wikipedia-schools-3.0.1/wp/index/subject.Portals.htm,,,,,,,,1142,212,,Dark Green,0,0,0,0,0,1,0,29,272,0,0,0,0,29,242,0,87.98381805,462.5,41,15,,
